АвтоСнаб Накладные

Накладные
Время загрузки документа,ID документа,Индикатор дубля документа,Форма документа,Дата документа,№ Документа,Поставщик,ИНН Поставщика,Грузополучатель,Получатель,Торговая точка,Склад,Основание,Наименование товара из документа,Госсистемы,Наименование товара в УС,Товар найден в справочнике,Ед.изм.,Кол-во из документа,Цена за единицу,Стоимость без НДС,Ставка НДС %,Сумма НДС,Общая стоимость,Сумма накладной,Ед.изм. в УС,Кол-во в УС,Цена в УС,Дата приема,"Принял, Ф.И.О.",Кол-во в заявке,Цена по прайсу,Последняя дата поставки,Последняя цена,Отклонение от цены прайса,Загрузить в УС,Статус строки,Причина ручной корректировки
2026-07-03 01:25:13,1,,ТОРГ-12,2026-06-22,УПМК3003248,"ООО ""МК ""Залесье"", ИНН 3920007884, 238642, Калининградская обл, Полесский р-н, Залесье п, Искровская ул, дом No 2",3920007884,"ЛИР ООО, ИНН 3906406206","ЛИР ООО, ИНН 3906406206","ЛИР ООО, ИНН 3906406206",,Основной договор,"Окорок ""Пармский"" с/к",,,,кг,3.954,2250.0,8896.5,7%,622.76,9519.26,13303.32,,,,,,,,,,,,,
,,,,,,,,,,,,,"Колбаса ""Итальянская Мортаделла"" вар.",,,,кг,4.106,861.3,3536.5,7%,247.56,3784.06,,,,,,,,,,,,,,

